squallar-radar/src/render_input.rs	663	633
squallar-radar/src/sampler.rs	573	553
squallar-radar/src/sampler/seam_fixture.rs	178	167
squallar-radar/src/scan.rs	374	226
squallar-radar/src/site_position.rs	81	81
squallar-radar/src/sites.rs	801	799
squallar-radar/src/sounding.rs	234	207
squallar-radar/src/source.rs	551	480
squallar-radar/src/srm.rs	107	102
squallar-radar/src/srv.rs	203	203
squallar-radar/src/tls_pins.rs	64	62
squallar-radar/src/twin.rs	425	387
squallar-radar/src/types.rs	387	380
squallar-radar/src/velocity.rs	105	103
squallar-radar/src/vil.rs	364	354
squallar-radar/src/vild.rs	96	94
squallar-radar/src/volume_wire.rs	353	324
squallar-radar/src/volumetric.rs	287	283
squallar-radar/src/voxel.rs	504	500
squallar-radar/src/xsect.rs	447	446
squallar-source/src/feature.rs	19	19
squallar-source/src/fetch_policy.rs	558	554
squallar-source/src/handler.rs	289	228
squallar-source/src/id.rs	49	49
squallar-source/src/job.rs	184	157
squallar-source/src/liveness.rs	39	39
squallar-source/src/origins.rs	262	259
squallar-source/src/product.rs	12	12
squallar-source/src/time.rs	59	58
squallar-source/src/tls.rs	32	32
squallar-source/src/volume.rs	302	287
squallar-source/src/wire.rs	134	134
squallar-units/src/distance.rs	21	19
squallar-units/src/hail_size.rs	27	25
squallar-units/src/height.rs	58	52
squallar-units/src/precip_rate.rs	18	17
squallar-units/src/quantity.rs	267	267
squallar-units/src/speed.rs	38	28
squallar-units/src/temperature.rs	23	17
squallar-units/src/timezone.rs	31	22
squallar-volumetric/src/budget_arms.rs	17	17
squallar-volumetric/src/lib.rs	363	304
squallar-volumetric/src/volume_blue_noise.rs	90	90
squallar-volumetric/src/volume_bridge.rs	753	460
squallar-volumetric/src/volume_degrade.rs	135	130
squallar-volumetric/src/volume_raymarch.rs	912	182
squallar-volumetric/src/volume_raymarch/staging.rs	335	68
squallar-volumetric/src/volume_uniform.rs	82	82
squallar-web/src/kv.rs	14	14
squallar-web/src/lib.rs	10	10
squallar-web/src/shared_loan.rs	41	41
squallar-web/src/worker_retry.rs	51	51
squallar-worker/src/job_registry.rs	5	5
squallar-worker/src/offload.rs	383	351
squallar-worker/src/offload/pool.rs	80	77
squallar-worker/src/wire_identity.rs	29	0
squallar/src/android/back.rs	26	0
squallar/src/android/compass.rs	31	0
squallar/src/android/density.rs	24	0
squallar/src/android/insets.rs	123	0
squallar/src/android/lifecycle.rs	7	0
squallar/src/android/mod.rs	54	0
squallar/src/android/task_to_back.rs	15	0
squallar/src/android/theme.rs	25	0
squallar/src/kv.rs	250	234
squallar/src/main.rs	6	0
squallar/src/network_security_config.rs	140	137
squallar/src/platform.rs	82	0
